createdAt,plant_stage,air_humidity_percent,soil_humidity_percent,celcius_grade_temperature,precipitation_detected,nitrogen_mg_kg,phosphorus_mg_kg,potassium_mg_kg,altitude_masl,deviceHubId,sectionId,class_intent
2024-12-03 05:00:00,floracion,55.83,57.7,23.46,0,16.25,20.39,205.29,1474,HUB-008,SEC-068,n_deficiency_severe
2024-01-04 19:00:00,vegetativo,41.97,56.43,21.38,0,28.03,14.77,104.35,1457,HUB-019,SEC-048,k_deficiency_moderate
2024-07-29 04:00:00,plantula,50.89,18.01,21.27,0,37.41,15.32,148.71,1799,HUB-025,SEC-009,water_deficit_plantula
2024-07-19 20:00:00,maduracion,66.13,17.08,22.24,0,19.02,20.34,171.98,1954,HUB-024,SEC-067,water_deficit_maduracion
2024-01-06 23:00:00,fructificacion,65.42,52.92,22.27,0,15.47,10.58,131.45,1571,HUB-012,SEC-033,n_deficiency_moderate
2024-09-09 13:00:00,cosecha,80.96,84.56,19.92,1,27.6,11.09,200.04,1792,HUB-013,SEC-068,excess_humidity_soil
2024-11-11 03:00:00,plantula,83.11,73.07,18.7,1,29.45,17.54,140.0,1975,HUB-012,SEC-009,excess_humidity_soil
2024-07-27 07:00:00,fructificacion,78.12,80.12,23.3,1,32.1,18.39,194.58,1799,HUB-001,SEC-041,excess_humidity_soil
2024-02-12 17:00:00,fructificacion,83.23,56.46,22.37,0,9.9,15.79,194.22,1984,HUB-024,SEC-050,n_deficiency_severe
2024-03-02 20:00:00,vegetativo,82.96,71.17,21.36,1,22.99,16.07,110.75,1996,HUB-008,SEC-010,excess_humidity_soil
2024-10-23 02:00:00,vegetativo,85.0,61.22,19.9,1,22.74,14.83,164.31,1774,HUB-013,SEC-038,optimal_*
2024-02-13 22:00:00,vegetativo,80.89,62.09,19.48,1,35.69,22.58,105.21,1961,HUB-019,SEC-051,fungal_risk_roya_vegetativo
2024-06-20 23:00:00,floracion,72.52,52.74,20.24,0,29.58,13.41,330.06,1880,HUB-013,SEC-014,k_excess
2024-12-13 02:00:00,vegetativo,61.0,49.17,22.99,0,35.87,7.37,126.71,1877,HUB-012,SEC-041,p_deficiency_severe
2024-07-09 10:00:00,vegetativo,67.49,56.74,23.21,0,12.7,19.44,181.88,1869,HUB-019,SEC-059,n_deficiency_severe
2024-01-24 20:00:00,maduracion,72.36,47.26,20.09,0,25.28,10.0,279.41,1926,HUB-022,SEC-026,k_excess
2024-07-26 05:00:00,vegetativo,59.9,58.06,16.52,0,29.9,17.14,218.24,2110,HUB-010,SEC-062,optimal_*
2024-12-14 07:00:00,fructificacion,60.05,59.76,20.85,0,30.09,17.83,187.54,1957,HUB-025,SEC-030,optimal_*
2024-09-17 07:00:00,vegetativo,84.21,59.66,19.45,1,20.42,15.74,189.36,1952,HUB-006,SEC-033,n_deficiency_moderate
2024-07-23 05:00:00,vegetativo,58.61,56.45,23.04,0,28.49,19.7,169.83,1470,HUB-017,SEC-015,optimal_*
2024-05-14 16:00:00,vegetativo,60.67,56.59,21.66,0,13.24,14.5,151.28,1886,HUB-008,SEC-010,n_deficiency_severe
2024-06-26 02:00:00,floracion,78.3,65.56,22.73,1,37.93,15.91,205.02,1347,HUB-007,SEC-022,optimal_*
2024-01-13 02:00:00,vegetativo,63.72,17.24,19.31,0,32.4,18.2,154.46,2106,HUB-016,SEC-049,water_deficit_vegetativo
2024-04-13 16:00:00,vegetativo,75.2,61.32,19.32,1,12.75,11.04,196.47,1824,HUB-014,SEC-020,n_deficiency_severe
2024-10-22 16:00:00,floracion,83.79,65.67,18.88,1,18.27,19.42,199.64,1796,HUB-023,SEC-009,fungal_risk_botrytis_floracion
2024-03-29 05:00:00,vegetativo,88.23,67.91,17.4,1,24.8,14.78,165.19,2074,HUB-022,SEC-068,fungal_risk_roya_vegetativo
2024-11-04 14:00:00,maduracion,79.09,62.14,18.44,1,25.26,17.47,148.44,1537,HUB-012,SEC-060,fungal_risk_ojo_gallo_maduracion
2024-05-19 14:00:00,plantula,75.74,24.76,20.28,0,37.74,19.19,191.69,2092,HUB-018,SEC-019,water_deficit_plantula
2024-05-09 09:00:00,vegetativo,57.29,46.24,25.11,0,41.64,9.48,204.65,1408,HUB-001,SEC-038,p_deficiency_moderate
2024-06-09 23:00:00,maduracion,85.33,60.5,16.89,1,26.28,14.13,195.57,1863,HUB-019,SEC-007,fungal_risk_ojo_gallo_maduracion
2024-03-07 09:00:00,fructificacion,70.22,56.67,21.87,1,24.04,14.03,205.44,1510,HUB-010,SEC-013,optimal_*
2024-02-10 23:00:00,vegetativo,82.28,60.33,22.06,1,33.99,16.78,193.43,1640,HUB-009,SEC-063,fungal_risk_roya_vegetativo
2024-09-30 12:00:00,maduracion,90.67,64.81,22.61,1,31.37,6.47,162.3,1764,HUB-023,SEC-036,p_deficiency_severe
2024-10-08 05:00:00,vegetativo,87.98,74.92,19.14,1,21.96,18.52,171.95,1865,HUB-015,SEC-056,excess_humidity_soil
2024-08-03 14:00:00,floracion,65.55,25.09,21.09,0,27.1,13.29,164.28,1792,HUB-020,SEC-001,water_deficit_floracion
2024-02-14 14:00:00,vegetativo,66.17,20.51,24.8,0,27.98,15.85,170.78,1981,HUB-003,SEC-059,water_deficit_vegetativo
2024-10-01 19:00:00,floracion,79.47,79.13,20.81,1,19.2,15.12,178.46,1657,HUB-021,SEC-032,excess_humidity_soil
2024-03-20 06:00:00,maduracion,74.73,54.06,23.06,1,18.0,17.07,129.39,1328,HUB-018,SEC-023,optimal_*
2024-04-10 07:00:00,fructificacion,66.92,49.12,19.65,0,36.96,13.99,181.62,1994,HUB-001,SEC-049,optimal_*
2024-03-11 18:00:00,vegetativo,84.52,64.02,20.28,1,17.3,14.52,244.42,1906,HUB-017,SEC-016,fungal_risk_roya_vegetativo
2024-06-23 10:00:00,floracion,56.49,55.39,23.3,0,28.7,8.43,125.35,1911,HUB-002,SEC-018,p_deficiency_moderate
2024-03-01 20:00:00,vegetativo,79.38,56.21,18.19,0,27.27,6.91,177.64,2252,HUB-020,SEC-009,p_deficiency_severe
2024-08-31 23:00:00,floracion,82.42,53.46,18.79,1,24.47,19.41,149.38,1914,HUB-017,SEC-049,fungal_risk_botrytis_floracion
2024-04-24 04:00:00,vegetativo,75.67,66.85,21.1,1,7.86,13.87,191.85,1257,HUB-002,SEC-035,n_deficiency_severe
2024-11-12 22:00:00,vegetativo,80.13,20.82,17.62,0,28.3,11.53,141.8,1791,HUB-021,SEC-055,water_deficit_vegetativo
2024-01-03 01:00:00,maduracion,87.52,78.26,18.64,1,29.0,12.8,202.28,2400,HUB-002,SEC-065,excess_humidity_soil
2024-06-18 23:00:00,floracion,64.29,23.53,23.63,0,38.91,22.42,169.63,1546,HUB-003,SEC-050,water_deficit_floracion
2024-06-20 03:00:00,maduracion,69.57,64.82,20.22,1,27.49,19.25,147.55,1522,HUB-007,SEC-019,fungal_risk_ojo_gallo_maduracion
2024-05-30 08:00:00,floracion,57.21,18.14,23.29,0,29.21,15.44,161.19,1343,HUB-016,SEC-040,water_deficit_floracion
2024-02-16 02:00:00,vegetativo,90.99,78.11,17.51,1,36.3,18.9,122.78,1975,HUB-003,SEC-019,excess_humidity_soil
2024-11-02 12:00:00,plantula,87.76,78.51,22.78,1,26.36,14.51,223.59,1669,HUB-005,SEC-055,excess_humidity_soil
2024-11-06 18:00:00,fructificacion,63.6,70.09,21.49,0,25.97,7.7,203.26,1800,HUB-022,SEC-003,p_deficiency_severe
2024-03-31 19:00:00,vegetativo,79.5,56.15,21.64,1,14.25,16.84,123.8,1616,HUB-021,SEC-008,n_deficiency_moderate
2024-11-02 21:00:00,vegetativo,64.75,44.66,21.96,0,18.59,20.03,123.41,1559,HUB-023,SEC-005,n_deficiency_moderate
2024-06-05 19:00:00,plantula,65.15,51.35,20.68,0,32.79,16.9,178.02,1705,HUB-016,SEC-018,optimal_*
2024-11-19 08:00:00,vegetativo,70.45,20.79,17.04,0,30.79,15.19,236.21,1855,HUB-019,SEC-013,water_deficit_vegetativo
2024-04-24 19:00:00,vegetativo,62.39,51.55,25.54,0,26.04,10.08,212.62,1775,HUB-008,SEC-061,p_deficiency_moderate
2024-03-01 15:00:00,fructificacion,79.97,21.78,20.0,0,23.75,21.55,148.31,2024,HUB-010,SEC-006,water_deficit_fructificacion
2024-02-25 08:00:00,cosecha,71.56,56.47,22.79,0,51.885087542739,16.03,208.79,1668,HUB-018,SEC-013,optimal_or_n_excess_mix
2024-04-10 20:00:00,maduracion,73.84,59.29,21.69,0,30.71,12.44,219.57,1974,HUB-016,SEC-061,optimal_*
2024-02-28 16:00:00,maduracion,61.48,62.61,18.85,1,34.01,14.8,166.83,1486,HUB-024,SEC-036,optimal_*
2024-06-24 08:00:00,vegetativo,62.19,66.67,21.0,0,11.0,21.83,137.0,1564,HUB-012,SEC-066,n_deficiency_severe
2024-10-20 09:00:00,floracion,55.91,20.68,22.64,0,32.69,13.79,192.43,1624,HUB-009,SEC-017,water_deficit_floracion
2024-02-11 03:00:00,fructificacion,66.96,62.69,21.51,0,23.38,17.7,200.51,1773,HUB-019,SEC-010,optimal_*
2024-07-28 19:00:00,vegetativo,56.43,16.9,21.47,0,28.49,15.83,203.83,1574,HUB-001,SEC-048,water_deficit_vegetativo
2024-06-02 12:00:00,vegetativo,62.79,22.5,22.79,0,34.44,13.84,218.09,1738,HUB-012,SEC-058,water_deficit_vegetativo
2024-08-04 21:00:00,fructificacion,79.71,54.17,21.69,1,17.55,11.96,131.33,1616,HUB-008,SEC-039,n_deficiency_severe
2024-12-09 20:00:00,floracion,86.51,65.5,19.36,1,28.52,15.3,166.14,2321,HUB-015,SEC-055,optimal_*
2024-02-07 15:00:00,vegetativo,70.1,61.02,23.66,1,19.95,15.7,144.07,1922,HUB-015,SEC-016,n_deficiency_moderate
2024-07-29 14:00:00,vegetativo,67.66,63.04,19.53,1,23.43,15.49,210.3,1408,HUB-023,SEC-034,fungal_risk_roya_vegetativo
2024-11-28 01:00:00,floracion,73.79,67.72,19.11,1,31.27,10.18,201.82,1723,HUB-001,SEC-025,fungal_risk_botrytis_floracion
2024-09-15 16:00:00,maduracion,89.41,55.21,21.45,1,37.4,7.6,237.51,1837,HUB-022,SEC-009,p_deficiency_severe
2024-07-03 00:00:00,floracion,66.19,51.26,21.92,0,33.29,22.0,209.28,1801,HUB-006,SEC-063,optimal_*+p_excess_hint
2024-04-23 11:00:00,vegetativo,81.0,18.76,19.82,0,29.6,16.35,214.41,1727,HUB-008,SEC-036,water_deficit_vegetativo
2024-12-30 10:00:00,fructificacion,86.94,56.64,21.45,1,18.83,15.05,195.6,1704,HUB-023,SEC-055,n_deficiency_moderate
2024-08-19 19:00:00,vegetativo,60.82,46.44,20.71,0,8.13,20.57,197.29,1852,HUB-015,SEC-024,n_deficiency_severe
2024-08-16 00:00:00,floracion,81.3,61.88,20.96,1,22.13,18.8,200.63,1795,HUB-024,SEC-020,fungal_risk_botrytis_floracion
2024-01-08 13:00:00,maduracion,67.84,48.22,20.57,0,33.7,11.73,206.82,1938,HUB-011,SEC-006,p_deficiency_moderate
2024-10-06 08:00:00,fructificacion,79.31,54.78,19.85,0,32.0,14.09,204.85,1987,HUB-022,SEC-040,optimal_*
2024-08-31 02:00:00,floracion,57.88,20.39,20.45,0,28.69,17.41,180.35,1953,HUB-016,SEC-033,water_deficit_floracion
2024-12-13 04:00:00,vegetativo,79.29,59.79,16.95,1,39.35,10.0,245.51,1954,HUB-012,SEC-062,fungal_risk_roya_vegetativo
2024-10-25 20:00:00,vegetativo,74.62,76.56,20.68,1,31.94,17.14,198.44,1548,HUB-015,SEC-010,excess_humidity_soil
2024-10-28 11:00:00,fructificacion,62.76,22.14,22.85,0,34.27,11.0,176.82,1697,HUB-020,SEC-015,water_deficit_fructificacion
2024-01-21 18:00:00,vegetativo,79.83,57.15,20.71,0,27.79,13.46,283.17,1822,HUB-009,SEC-017,k_excess
2024-08-09 20:00:00,vegetativo,82.08,50.27,23.92,1,34.46,20.03,355.31,1400,HUB-021,SEC-001,k_excess
2024-03-15 07:00:00,floracion,58.92,57.2,22.69,0,32.45,11.77,190.92,1696,HUB-010,SEC-017,optimal_*
2024-03-10 03:00:00,cosecha,63.68,50.2,20.4,1,23.39,20.91,129.24,1681,HUB-018,SEC-038,n_deficiency_moderate
2024-12-01 07:00:00,plantula,62.23,56.67,21.39,1,24.78,16.27,213.22,1673,HUB-022,SEC-042,optimal_*
2024-10-25 05:00:00,vegetativo,72.8,53.09,18.13,0,25.72,16.87,173.2,2192,HUB-017,SEC-056,optimal_*
2024-07-05 00:00:00,vegetativo,72.61,50.64,22.33,1,7.74,12.96,178.38,1570,HUB-007,SEC-045,n_deficiency_severe
2024-12-12 13:00:00,fructificacion,76.25,51.74,24.89,1,12.27,16.91,216.73,1848,HUB-018,SEC-068,n_deficiency_severe
2024-11-17 16:00:00,maduracion,80.43,62.7,21.12,1,35.43,14.25,217.89,1752,HUB-011,SEC-070,optimal_*
2024-04-08 13:00:00,floracion,70.56,47.69,20.93,1,24.0,14.84,170.13,1800,HUB-011,SEC-008,n_deficiency_moderate
2024-04-06 07:00:00,floracion,63.92,61.1,21.21,0,25.12,15.76,203.44,1827,HUB-002,SEC-010,optimal_*
2024-09-03 16:00:00,cosecha,82.18,64.11,21.91,1,22.35,6.11,185.68,1563,HUB-002,SEC-035,p_deficiency_severe
2024-03-12 21:00:00,vegetativo,59.42,8.01,21.42,0,28.83,17.97,143.16,1682,HUB-007,SEC-047,water_deficit_vegetativo
2024-02-15 22:00:00,fructificacion,70.29,48.13,21.19,1,8.22,20.81,192.66,1431,HUB-004,SEC-002,n_deficiency_severe
2024-01-07 16:00:00,vegetativo,63.92,51.32,22.33,0,19.96,17.57,180.54,1873,HUB-011,SEC-043,n_deficiency_moderate
2024-03-08 03:00:00,vegetativo,86.75,66.83,21.49,1,33.93,22.93,208.13,1806,HUB-002,SEC-008,fungal_risk_roya_vegetativo
2024-10-17 21:00:00,maduracion,62.65,73.53,20.57,1,22.58,6.06,180.14,1848,HUB-014,SEC-015,p_deficiency_severe
2024-07-07 19:00:00,fructificacion,67.44,52.53,20.1,0,14.49,21.49,173.81,1833,HUB-012,SEC-068,n_deficiency_severe
2024-08-13 20:00:00,fructificacion,50.21,54.54,22.77,0,35.68,16.96,173.77,1355,HUB-025,SEC-019,optimal_*
2024-08-27 20:00:00,vegetativo,81.64,80.49,20.59,1,18.93,16.33,181.06,1953,HUB-008,SEC-038,excess_humidity_soil
2024-04-09 14:00:00,floracion,65.88,65.12,22.78,1,26.25,17.59,231.64,1320,HUB-004,SEC-056,fungal_risk_botrytis_floracion
2024-10-26 00:00:00,plantula,73.1,60.54,21.53,0,33.27,9.56,173.8,1473,HUB-013,SEC-046,p_deficiency_moderate
2024-09-17 19:00:00,floracion,89.95,78.99,22.43,1,21.4,15.04,205.75,1753,HUB-025,SEC-008,excess_humidity_soil
2024-02-18 23:00:00,floracion,59.14,16.9,22.02,0,27.85,14.96,194.1,1777,HUB-020,SEC-054,water_deficit_floracion
2024-06-22 01:00:00,floracion,86.19,45.28,19.8,1,11.1,15.6,177.57,2050,HUB-006,SEC-011,n_deficiency_severe
2024-04-23 00:00:00,vegetativo,67.44,42.94,22.13,0,35.13,12.46,175.45,1832,HUB-017,SEC-037,optimal_*
2024-02-13 10:00:00,vegetativo,74.9,54.49,19.88,0,6.68,18.19,182.11,2051,HUB-002,SEC-013,n_deficiency_severe
2024-08-17 22:00:00,vegetativo,71.73,19.11,20.68,0,28.84,16.57,151.58,1952,HUB-006,SEC-041,water_deficit_vegetativo
2024-04-20 22:00:00,floracion,83.19,61.34,22.63,1,26.97,16.49,166.96,1770,HUB-004,SEC-006,fungal_risk_botrytis_floracion
2024-05-20 16:00:00,floracion,86.31,66.08,18.32,1,12.0,18.43,199.81,2015,HUB-016,SEC-005,fungal_risk_botrytis_floracion
2024-09-26 14:00:00,fructificacion,68.0,52.58,22.46,0,14.86,15.44,170.63,1851,HUB-008,SEC-001,n_deficiency_severe
2024-09-21 04:00:00,fructificacion,98.07,76.58,19.73,1,41.12,18.45,171.7,2007,HUB-014,SEC-049,excess_humidity_soil
2024-12-12 09:00:00,fructificacion,81.51,57.33,22.66,1,22.06,16.71,189.51,1244,HUB-023,SEC-070,n_deficiency_moderate
2024-10-30 19:00:00,cosecha,86.83,25.32,18.06,0,27.5,11.0,208.15,2037,HUB-007,SEC-012,water_deficit_cosecha
2024-09-02 23:00:00,vegetativo,84.91,82.74,19.39,1,29.9,15.06,187.2,1846,HUB-024,SEC-055,excess_humidity_soil
2024-11-10 09:00:00,plantula,58.56,56.5,24.39,0,36.05,9.83,191.56,1365,HUB-017,SEC-013,p_deficiency_moderate
2024-11-19 00:00:00,vegetativo,81.18,69.35,17.52,1,30.82,18.23,148.77,1944,HUB-005,SEC-012,fungal_risk_roya_vegetativo
2024-05-03 16:00:00,plantula,59.33,41.95,21.81,0,21.38,11.52,153.53,1732,HUB-012,SEC-002,n_deficiency_moderate
2024-06-28 13:00:00,vegetativo,67.03,54.62,22.4,1,28.46,10.68,201.9,1534,HUB-002,SEC-048,p_deficiency_moderate
2024-02-29 20:00:00,vegetativo,77.09,50.22,21.94,1,27.79,6.54,178.11,1550,HUB-024,SEC-014,p_deficiency_severe
2024-08-06 02:00:00,vegetativo,83.09,75.1,22.37,1,29.66,16.62,232.04,1637,HUB-018,SEC-017,excess_humidity_soil
2024-06-15 16:00:00,vegetativo,70.62,45.98,21.43,0,9.2,17.56,151.78,1411,HUB-019,SEC-064,n_deficiency_severe
2024-03-04 15:00:00,maduracion,73.77,74.54,22.43,1,37.78,13.94,188.51,1370,HUB-015,SEC-035,optimal_*
2024-05-28 11:00:00,plantula,66.11,60.36,20.92,0,26.67,12.25,191.74,1957,HUB-009,SEC-027,optimal_*
2024-12-23 08:00:00,vegetativo,84.91,77.96,20.0,1,39.83,16.63,210.28,1847,HUB-008,SEC-009,excess_humidity_soil
2024-10-26 18:00:00,vegetativo,68.71,54.21,24.05,0,36.14,12.86,215.24,1544,HUB-023,SEC-019,optimal_*
2024-06-11 12:00:00,maduracion,76.74,61.79,21.32,1,33.01,12.35,134.58,1513,HUB-025,SEC-049,k_deficiency_moderate
2024-12-17 01:00:00,vegetativo,52.65,82.97,22.06,1,24.0,11.35,162.27,1338,HUB-014,SEC-039,excess_humidity_soil
2024-01-05 00:00:00,floracion,60.37,74.6,22.76,1,24.39,16.6,209.17,1475,HUB-013,SEC-042,excess_humidity_soil
2024-01-01 03:00:00,vegetativo,76.07,65.76,15.19,1,32.43,16.88,165.49,1636,HUB-014,SEC-033,fungal_risk_roya_vegetativo
2024-12-28 17:00:00,plantula,58.61,52.08,22.91,0,14.0,16.77,186.44,1350,HUB-012,SEC-045,n_deficiency_moderate
2024-02-23 12:00:00,fructificacion,56.59,57.1,19.56,1,34.63,11.89,202.48,1606,HUB-002,SEC-007,p_deficiency_moderate
2024-10-05 15:00:00,plantula,70.93,54.62,19.27,0,29.26,16.86,195.38,2047,HUB-011,SEC-041,optimal_*
2024-11-09 21:00:00,vegetativo,89.14,55.54,21.12,1,29.79,12.79,58.69,1487,HUB-009,SEC-030,k_deficiency_severe
2024-02-28 19:00:00,maduracion,80.75,60.95,19.25,1,28.05,12.9,251.6,1586,HUB-020,SEC-058,p_deficiency_moderate
2024-03-15 13:00:00,maduracion,57.2,60.98,23.19,0,13.94,13.06,183.21,1574,HUB-001,SEC-035,n_deficiency_severe
2024-10-29 12:00:00,floracion,44.67,56.78,24.57,0,28.72,19.04,167.61,1131,HUB-010,SEC-015,optimal_*
2024-01-20 12:00:00,fructificacion,60.94,50.47,21.7,0,24.0,17.86,227.23,1799,HUB-009,SEC-034,n_deficiency_moderate
2024-05-03 11:00:00,fructificacion,51.65,56.15,24.11,0,38.07,14.93,191.94,1264,HUB-021,SEC-068,optimal_*
2024-08-22 08:00:00,maduracion,80.21,49.5,22.22,0,20.76,17.5,194.53,1989,HUB-002,SEC-062,n_deficiency_moderate
2024-06-03 17:00:00,fructificacion,87.14,69.32,20.61,1,28.96,13.68,190.66,1676,HUB-024,SEC-036,optimal_*
2024-03-07 02:00:00,vegetativo,59.1,27.87,20.32,0,33.45,18.96,223.93,1528,HUB-015,SEC-038,water_deficit_vegetativo
2024-08-01 17:00:00,floracion,59.29,53.4,21.2,0,31.72,13.18,188.35,2029,HUB-003,SEC-004,optimal_*
2024-07-07 01:00:00,maduracion,64.16,69.43,18.62,1,35.17,19.47,191.61,2007,HUB-001,SEC-018,fungal_risk_ojo_gallo_maduracion
2024-10-17 21:00:00,floracion,83.03,19.16,20.75,0,27.17,19.34,151.29,1894,HUB-022,SEC-050,water_deficit_floracion
2024-03-24 23:00:00,floracion,75.56,55.13,22.07,1,29.37,17.46,214.29,1363,HUB-012,SEC-056,fungal_risk_botrytis_floracion
2024-06-29 08:00:00,fructificacion,69.35,22.52,21.1,0,16.14,19.5,246.1,1708,HUB-003,SEC-068,water_deficit_fructificacion
2024-03-11 17:00:00,maduracion,67.97,52.77,24.22,0,24.13,6.64,189.37,1710,HUB-015,SEC-037,p_deficiency_severe
2024-11-07 12:00:00,vegetativo,79.61,67.13,19.83,1,32.76,18.62,190.18,1720,HUB-005,SEC-026,fungal_risk_roya_vegetativo
2024-03-15 01:00:00,vegetativo,59.3,45.9,20.14,0,29.66,16.37,60.35,1660,HUB-009,SEC-019,k_deficiency_severe
2024-03-12 08:00:00,vegetativo,81.21,79.45,20.96,1,37.61,17.98,209.04,1624,HUB-011,SEC-039,excess_humidity_soil
2024-11-10 13:00:00,plantula,54.12,43.23,24.71,0,19.19,14.28,367.2,1741,HUB-011,SEC-070,k_excess
2024-03-13 16:00:00,cosecha,59.22,49.48,20.62,0,37.17,17.1,167.14,1775,HUB-003,SEC-036,optimal_*
2024-08-25 18:00:00,vegetativo,81.4,47.19,18.96,1,26.25,9.0,195.24,1905,HUB-003,SEC-002,p_deficiency_severe
2024-04-05 11:00:00,floracion,67.63,61.11,22.66,1,19.37,18.96,221.12,1455,HUB-015,SEC-013,fungal_risk_botrytis_floracion
2024-04-20 06:00:00,maduracion,61.47,54.98,19.39,0,21.92,21.55,213.26,1621,HUB-020,SEC-037,n_deficiency_moderate
2024-02-25 18:00:00,vegetativo,62.65,53.26,21.32,0,20.28,22.98,168.55,1461,HUB-015,SEC-044,n_deficiency_moderate
2024-06-21 14:00:00,floracion,79.64,55.36,22.66,1,15.94,13.86,191.0,1582,HUB-025,SEC-007,n_deficiency_severe
2024-08-29 12:00:00,vegetativo,50.44,55.04,21.49,0,26.14,17.0,94.11,1514,HUB-019,SEC-002,k_deficiency_moderate
2024-07-19 21:00:00,cosecha,69.47,53.68,19.64,0,33.89,18.74,166.93,1693,HUB-020,SEC-002,optimal_*
2024-04-08 00:00:00,vegetativo,84.99,57.96,19.77,1,19.34,20.85,161.13,1699,HUB-016,SEC-064,n_deficiency_moderate
2024-06-13 18:00:00,vegetativo,72.67,21.94,25.26,0,36.05,14.63,190.79,1856,HUB-025,SEC-029,water_deficit_vegetativo
2024-12-26 04:00:00,plantula,86.68,64.39,20.27,1,58.197239022699335,25.454884757556595,177.46,1842,HUB-024,SEC-052,optimal_or_n_excess_mix+p_excess_hint
2024-05-12 19:00:00,vegetativo,85.32,77.77,22.43,1,26.57,18.59,218.07,1644,HUB-013,SEC-008,excess_humidity_soil
2024-02-19 11:00:00,maduracion,54.4,52.09,24.93,0,37.48,14.03,195.08,1379,HUB-017,SEC-016,optimal_*
2024-06-20 19:00:00,fructificacion,52.01,48.11,24.13,0,20.58,7.85,186.26,1614,HUB-020,SEC-056,p_deficiency_severe
2024-06-23 00:00:00,floracion,90.81,65.38,16.83,1,27.14,20.44,177.04,2008,HUB-003,SEC-059,fungal_risk_botrytis_floracion
2024-07-11 21:00:00,vegetativo,85.97,51.85,21.4,1,34.9,17.6,335.54,1871,HUB-020,SEC-002,k_excess
2024-05-18 09:00:00,vegetativo,54.36,23.62,22.99,0,31.19,13.8,176.11,1544,HUB-010,SEC-055,water_deficit_vegetativo
2024-09-15 22:00:00,floracion,58.42,20.71,20.32,0,26.75,17.35,230.39,1376,HUB-019,SEC-012,water_deficit_floracion
2024-10-21 13:00:00,vegetativo,78.96,75.57,20.5,1,30.93,18.23,180.25,1549,HUB-002,SEC-063,fungal_risk_roya_vegetativo
2024-08-04 04:00:00,maduracion,84.86,50.7,20.87,1,12.59,15.88,186.4,1534,HUB-017,SEC-027,n_deficiency_severe
2024-06-19 16:00:00,fructificacion,69.5,53.24,22.98,0,29.99,10.39,215.32,1954,HUB-005,SEC-059,p_deficiency_moderate
2024-12-25 01:00:00,fructificacion,80.58,62.43,23.72,1,31.43,16.12,209.08,1445,HUB-019,SEC-064,optimal_*
2024-01-24 17:00:00,fructificacion,69.48,61.28,20.25,1,45.0,13.33,176.74,1950,HUB-014,SEC-053,optimal_or_n_excess_mix
2024-02-19 22:00:00,floracion,80.93,66.42,21.86,1,24.62,16.02,203.51,1787,HUB-012,SEC-048,fungal_risk_botrytis_floracion
2024-03-27 15:00:00,maduracion,61.96,62.04,20.94,1,20.23,16.25,130.51,1851,HUB-010,SEC-054,fungal_risk_ojo_gallo_maduracion
